Epoch,Batch,Loss
1,1,422.2030334472656
1,2,295.33160400390625
1,3,252.5115203857422
1,4,233.87774658203125
1,5,223.638916015625
1,6,212.76409912109375
1,7,208.6436309814453
1,8,203.15988159179688
1,9,197.0640411376953
1,10,195.6696319580078
1,11,192.03773498535156
1,12,191.3874053955078
1,13,190.7234344482422
1,14,191.52987670898438
1,15,188.94927978515625
1,16,189.04331970214844
1,17,187.89468383789062
1,18,188.5615234375
1,19,188.8197479248047
1,20,186.9235382080078
1,21,186.33932495117188
1,22,187.98587036132812
1,23,188.03399658203125
1,24,189.6805877685547
1,25,186.9567108154297
1,26,187.74856567382812
1,27,189.44558715820312
1,28,190.1088409423828
1,29,187.90969848632812
1,30,188.47825622558594
1,31,190.9830322265625
1,32,187.103759765625
1,33,186.29197692871094
1,34,188.35379028320312
1,35,187.88706970214844
1,36,189.95840454101562
1,37,186.26101684570312
1,38,189.4579315185547
1,39,187.30638122558594
1,40,186.04466247558594
1,41,188.83653259277344
1,42,187.4853057861328
1,43,187.4986572265625
1,44,186.51695251464844
1,45,188.49014282226562
1,46,186.36248779296875
1,47,188.5315399169922
1,48,189.28021240234375
1,49,187.279052734375
1,50,187.8324432373047
1,51,187.72950744628906
1,52,186.20901489257812
1,53,186.9219207763672
1,54,186.32640075683594
1,55,188.0226593017578
1,56,186.9788360595703
1,57,185.6130828857422
1,58,186.9892578125
1,59,186.7184295654297
1,60,185.37521362304688
1,61,185.95220947265625
1,62,188.4639892578125
1,63,187.4720458984375
1,64,187.57000732421875
1,65,187.0727996826172
1,66,186.2277374267578
1,67,186.86801147460938
1,68,186.20521545410156
1,69,185.41940307617188
1,70,186.32650756835938
1,71,184.71075439453125
1,72,183.51046752929688
1,73,182.80145263671875
1,74,181.42599487304688
1,75,181.18226623535156
1,76,180.32704162597656
1,77,175.74893188476562
1,78,172.96490478515625
1,79,167.7122039794922
1,80,157.5551300048828
1,81,149.85964965820312
1,82,134.3502655029297
1,83,117.12738800048828
1,84,94.5396728515625
1,85,66.88186645507812
1,86,38.782508850097656
1,87,26.859657287597656
1,88,38.90743637084961
1,89,45.312583923339844
1,90,36.30608367919922
1,91,27.305625915527344
1,92,18.495243072509766
1,93,17.47220230102539
1,94,16.372316360473633
1,95,20.637069702148438
1,96,21.27213478088379
1,97,19.921396255493164
1,98,20.464374542236328
1,99,16.227075576782227
1,100,15.837566375732422
2,1,13.404241561889648
2,2,12.768312454223633
2,3,13.316192626953125
2,4,14.210637092590332
2,5,14.61811351776123
2,6,11.592172622680664
2,7,12.137518882751465
2,8,10.657106399536133
2,9,10.547750473022461
2,10,8.241063117980957
2,11,9.174677848815918
2,12,11.480203628540039
2,13,9.02458667755127
2,14,12.778121948242188
2,15,9.51663589477539
2,16,7.39526891708374
2,17,12.43741226196289
2,18,10.38014030456543
2,19,10.170883178710938
2,20,9.180333137512207
2,21,9.751879692077637
2,22,9.773871421813965
2,23,8.980563163757324
2,24,8.087599754333496
2,25,8.719221115112305
2,26,9.319459915161133
2,27,10.513589859008789
2,28,9.612788200378418
2,29,11.269115447998047
2,30,8.900873184204102
2,31,7.946855545043945
2,32,7.7203450202941895
2,33,9.282952308654785
2,34,9.409045219421387
2,35,8.969409942626953
2,36,9.68860149383545
2,37,9.347172737121582
2,38,10.981409072875977
